S4JobIndustry,S4EdExpected,S4OCC30EARN,S4JOBSECURE,S4JOBBALANCE,S4JOBCONTRIB,S4JOBDECISION,S4LOCATION,S4JOBTEAMWRK,S4ParEd,X4X2SES,X4HSCOMPSTAT,X4LOCALE,X4REGION,X4ATPRLVLA,X4PSLFSTFB16,Weight
Arts and entertainment,More than a bachelor's degree,50000,Equally important,Equally important,Less important than salary,Less important than salary,Less important than salary,Less important than salary,More than a bachelor's degree,0.9046,Diploma,Suburb,Midwest,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and not in the labor force,329.467345803237
Business and Management,Bachelor's degree,30000,More important than salary,Equally important,More important than salary,Equally important,Equally important,Equally important,Some college,-0.2757,Diploma,Suburb,South,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and employed part-time,1058.20008394491
Military and protective services,Some college,40000,More important than salary,Equally important,Equally important,More important than salary,Equally important,More important than salary,Associate's degree,-0.6808,Diploma,Suburb,Northeast,Item legitimate skip/NA,Not enrolled in postsecondary education and unemployed,451.163932315381
Trades and technical,"High school diploma, equivalent, or less",85000,More important than salary,More important than salary,Equally important,More important than salary,Equally important,More important than salary,More than a bachelor's degree,0.6521,No HS credential,Town,Midwest,Item legitimate skip/NA,Not enrolled in postsecondary education and employed full-time,311.577466668
Healthcare,Bachelor's degree,35000,Equally important,Less important than salary,Equally important,Less important than salary,Equally important,Equally important,Associate's degree,-0.0249,Diploma,Rural,West,"No degree, not enrolled",Not enrolled in postsecondary education and employed full-time,181.562257260381
Healthcare,Some college,65000,Equally important,Equally important,Equally important,Equally important,Equally important,Equally important,Associate's degree,-0.4094,Diploma,Rural,Midwest,"No degree, not enrolled",Not enrolled in postsecondary education and employed part-time,108.379339990555
Don't Know,Bachelor's degree,50000,More important than salary,More important than salary,More important than salary,Equally important,More important than salary,More important than salary,"High school diploma, equivalent, or less",-0.0596,Diploma,City,West,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and employed part-time,245.446376811414
Healthcare,More than a bachelor's degree,100000,Equally important,More important than salary,More important than salary,Equally important,Equally important,Less important than salary,More than a bachelor's degree,1.2628,Diploma,Town,South,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and employed part-time,259.63022749998
Military and protective services,Bachelor's degree,5000,More important than salary,Equally important,More important than salary,Equally important,Less important than salary,Equally important,Bachelor's degree,0.6577,Diploma,City,Midwest,"No degree, not enrolled",Not enrolled in postsecondary education and employed full-time,38.3879148102088
Don't Know,Bachelor's degree,50000,Equally important,Equally important,Equally important,Equally important,Equally important,Equally important,More than a bachelor's degree,1.5071,Diploma,Rural,South,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and employed part-time,527.044195203211
STEM,Bachelor's degree,90000,Equally important,Equally important,Equally important,Equally important,Equally important,Equally important,Bachelor's degree,-0.1143,Diploma,Suburb,Northeast,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and not in the labor force,162.013029028801
Don't Know,More than a bachelor's degree,10000,Equally important,More important than salary,More important than salary,More important than salary,More important than salary,Equally important,Some college,-0.562,Diploma,Rural,Northeast,Item legitimate skip/NA,Not enrolled in postsecondary education and not in the labor force,194.534300648699
Trades and technical,Associate's degree,65000,Equally important,Less important than salary,Less important than salary,Equally important,Equally important,Equally important,Less than high school,-1.3554,Diploma,Rural,South,Attained certificate,Not enrolled in postsecondary education and employed full-time,603.870912436556
Don't Know,Bachelor's degree,60000,More important than salary,More important than salary,More important than salary,More important than salary,Equally important,More important than salary,Associate's degree,-0.4655,Diploma,Rural,South,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and not in the labor force,778.672356117834
Don't Know,More than a bachelor's degree,50000,Equally important,Equally important,Equally important,Equally important,Equally important,Equally important,"High school diploma, equivalent, or less",-0.8086,Diploma,Rural,South,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and employed part-time,177.813358609458
Education,Bachelor's degree,35000,More important than salary,More important than salary,More important than salary,Equally important,More important than salary,Less important than salary,Bachelor's degree,0.1848,Diploma,Rural,South,Item legitimate skip/NA,Not enrolled in postsecondary education and employed full-time,174.450655172825
Healthcare,More than a bachelor's degree,200000,Equally important,More important than salary,More important than salary,Equally important,Equally important,Equally important,More than a bachelor's degree,1.035,Diploma,Suburb,South,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and employed part-time,114.5330665658
Arts and entertainment,Bachelor's degree,100000,More important than salary,Equally important,More important than salary,Equally important,Equally important,Equally important,Bachelor's degree,0.5918,Diploma,Suburb,Midwest,"No degree, not enrolled",Not enrolled in postsecondary education and employed full-time,15.8621620247783
Business and Management,"High school diploma, equivalent, or less",75000,Equally important,Equally important,Equally important,Equally important,Equally important,Equally important,"High school diploma, equivalent, or less",-0.8487,Diploma,Suburb,South,Item legitimate skip/NA,Not enrolled in postsecondary education and employed full-time,91.2262172979309
Don't Know,Bachelor's degree,60000,More important than salary,Equally important,Less important than salary,Less important than salary,Equally important,Less important than salary,"High school diploma, equivalent, or less",-0.4423,Diploma,Rural,South,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and unemployed,625.616638453215
Business and Management,More than a bachelor's degree,50000,More important than salary,Equally important,Equally important,Equally important,Equally important,Less important than salary,More than a bachelor's degree,2.0791,Diploma,Suburb,Midwest,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and employed full-time,175.139752196938
Service,"High school diploma, equivalent, or less",60000,More important than salary,More important than salary,More important than salary,More important than salary,More important than salary,More important than salary,"High school diploma, equivalent, or less",-0.5937,Diploma,Rural,South,Item legitimate skip/NA,Not enrolled in postsecondary education and employed part-time,32.335884525204
Other,More than a bachelor's degree,50000,More important than salary,More important than salary,More important than salary,Equally important,Less important than salary,More important than salary,Associate's degree,0.1901,Diploma,Suburb,South,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and employed part-time,97.8662675530924
STEM,More than a bachelor's degree,75000,Equally important,Equally important,Equally important,Equally important,Equally important,Equally important,More than a bachelor's degree,1.4136,Diploma,City,South,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and unemployed,129.790139474335
Don't Know,Don't know,250000,Equally important,More important than salary,Less important than salary,Less important than salary,Less important than salary,Equally important,"High school diploma, equivalent, or less",-0.6756,Diploma,Rural,South,Item legitimate skip/NA,Not enrolled in postsecondary education and employed full-time,134.822637366602
Arts and entertainment,Bachelor's degree,100000,Equally important,Equally important,Equally important,More important than salary,Equally important,Equally important,More than a bachelor's degree,1.3132,Diploma,Suburb,Northeast,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and employed part-time,66.4293222165436
Healthcare,Bachelor's degree,30000,Equally important,Equally important,Equally important,More important than salary,Equally important,Equally important,"High school diploma, equivalent, or less",-1.3729,Diploma,Suburb,South,Item legitimate skip/NA,Not enrolled in postsecondary education and unemployed,892.552396513283
Don't Know,Bachelor's degree,30000,Equally important,Equally important,Equally important,Equally important,Equally important,Equally important,"High school diploma, equivalent, or less",0.1658,Diploma,Rural,South,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and employed full-time,631.200210365326
Military and protective services,Don't know,30000,More important than salary,Equally important,Equally important,More important than salary,Less important than salary,Equally important,"High school diploma, equivalent, or less",-0.9194,Diploma,Suburb,Northeast,Item legitimate skip/NA,Not enrolled in postsecondary education and employed full-time,441.970180206596
STEM,More than a bachelor's degree,65000,Equally important,Less important than salary,Less important than salary,Less important than salary,More important than salary,Less important than salary,Associate's degree,-0.5334,Diploma,City,Midwest,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and employed part-time,103.974101234445
Don't Know,Bachelor's degree,35000,Equally important,Equally important,Equally important,Equally important,Equally important,Equally important,More than a bachelor's degree,0.1424,Diploma,City,South,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and employed full-time,97.2800004979541
Don't Know,More than a bachelor's degree,75000,Equally important,Equally important,Equally important,Equally important,Equally important,Equally important,More than a bachelor's degree,1.0537,Diploma,City,South,"No degree, not enrolled",Not enrolled in postsecondary education and not in the labor force,11.4795029372001
Other,More than a bachelor's degree,70000,Equally important,Equally important,Less important than salary,Equally important,Equally important,Less important than salary,Some college,-0.3972,Diploma,Suburb,Northeast,Attained associate's degree,Enrolled in postsecondary education and employed part-time,337.766590005431
Don't Know,Some college,60000,More important than salary,More important than salary,Equally important,Equally important,Equally important,Equally important,Less than high school,-1.4225,"GED, other HS equivalency, or certificate of attendance",Suburb,South,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and employed full-time,778.172511311592
Don't Know,More than a bachelor's degree,150000,Equally important,Equally important,Equally important,Equally important,Equally important,Equally important,"High school diploma, equivalent, or less",-0.8177,Diploma,City,Northeast,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and not in the labor force,10621.5664164625
Healthcare,More than a bachelor's degree,65000,More important than salary,More important than salary,More important than salary,Equally important,Equally important,More important than salary,Bachelor's degree,0.5356,Diploma,City,West,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and employed full-time,88.4833693812281
Healthcare,Bachelor's degree,50000,Equally important,Equally important,More important than salary,Equally important,Less important than salary,Equally important,Associate's degree,-0.1216,Diploma,City,Northeast,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and employed part-time,9531.83291425098
Don't Know,Bachelor's degree,50000,Equally important,More important than salary,Equally important,More important than salary,Equally important,Equally important,Associate's degree,-0.3735,Diploma,Town,West,Item legitimate skip/NA,Not enrolled in postsecondary education and employed full-time,1336.90730464272
Don't Know,More than a bachelor's degree,60000,Equally important,More important than salary,More important than salary,Equally important,Less important than salary,Less important than salary,More than a bachelor's degree,1.1476,Diploma,Rural,Midwest,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and employed part-time,13.8933131900326
STEM,More than a bachelor's degree,55000,More important than salary,Equally important,Equally important,Equally important,Less important than salary,Equally important,More than a bachelor's degree,1.0383,Diploma,City,Midwest,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and not in the labor force,44.0717948345176
Military and protective services,Some college,70000,Equally important,Equally important,Less important than salary,Equally important,Less important than salary,Less important than salary,Bachelor's degree,0.1781,Diploma,Rural,Midwest,Item legitimate skip/NA,Not enrolled in postsecondary education and employed full-time,49.3321839277963
STEM,Bachelor's degree,55000,More important than salary,More important than salary,More important than salary,More important than salary,More important than salary,More important than salary,Bachelor's degree,-0.1289,Diploma,Rural,South,"No degree, enrolled at less-than-4-year",Enrolled in postsecondary education and employed part-time,63.4356182789383
Don't Know,More than a bachelor's degree,70000,Equally important,Equally important,Equally important,Equally important,Equally important,Equally important,More than a bachelor's degree,0.9065,Diploma,Suburb,Midwest,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and employed part-time,153.60367644962
Don't Know,Bachelor's degree,60000,More important than salary,More important than salary,More important than salary,Equally important,Equally important,Less important than salary,More than a bachelor's degree,1.7903,Diploma,Suburb,South,"No degree, not enrolled",Not enrolled in postsecondary education and employed full-time,95.4155480958369
STEM,Bachelor's degree,80000,Equally important,Equally important,Equally important,Equally important,Equally important,Equally important,Bachelor's degree,0.1145,Diploma,City,West,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and employed part-time,335.10209929539
Trades and technical,Some college,40000,Equally important,More important than salary,Equally important,Equally important,Equally important,Equally important,Associate's degree,0.9737,Diploma,Town,South,"No degree, not enrolled",Not enrolled in postsecondary education and not in the labor force,26.3124697612979
Don't Know,Bachelor's degree,60000,More important than salary,Less important than salary,Less important than salary,Equally important,Less important than salary,Less important than salary,Bachelor's degree,0.4954,Diploma,Suburb,Northeast,Attained associate's degree,Enrolled in postsecondary education and employed part-time,301.528995646007
Healthcare,Bachelor's degree,35000,More important than salary,Equally important,Equally important,Equally important,Less important than salary,Equally important,Associate's degree,0.2161,Diploma,City,South,"No degree, enrolled at less-than-4-year",Enrolled in postsecondary education and not in the labor force,70.2062266789933
Education,More than a bachelor's degree,50000,Equally important,Equally important,Equally important,Equally important,Equally important,Equally important,More than a bachelor's degree,0.9911,Diploma,Town,South,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and employed part-time,54.3577245983445
Business and Management,More than a bachelor's degree,85000,Equally important,More important than salary,Equally important,Equally important,Equally important,Less important than salary,More than a bachelor's degree,1.7772,Diploma,City,Midwest,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and employed part-time,130.931698160841
Healthcare,Associate's degree,50000,More important than salary,Equally important,More important than salary,Less important than salary,Equally important,Equally important,"High school diploma, equivalent, or less",0.1404,Diploma,City,Midwest,Item legitimate skip/NA,Not enrolled in postsecondary education and employed part-time,108.678029632692
Trades and technical,"High school diploma, equivalent, or less",25000,Equally important,Less important than salary,Equally important,Less important than salary,Less important than salary,Equally important,"High school diploma, equivalent, or less",-0.644,Diploma,Rural,South,Item legitimate skip/NA,Not enrolled in postsecondary education and employed full-time,212.557527894502
Business and Management,Bachelor's degree,40000,Equally important,More important than salary,Equally important,Equally important,More important than salary,Equally important,Bachelor's degree,0.5153,Diploma,Rural,West,Attained associate's degree,Not enrolled in postsecondary education and not in the labor force,539.75091557789
Service,Some college,15000,Equally important,More important than salary,Equally important,More important than salary,More important than salary,Equally important,More than a bachelor's degree,0.738,Diploma,Rural,South,Item legitimate skip/NA,Not enrolled in postsecondary education and employed full-time,301.430780688544
Other,Don't know,60000,Equally important,Equally important,More important than salary,Equally important,Equally important,Less important than salary,"High school diploma, equivalent, or less",-1.1476,"GED, other HS equivalency, or certificate of attendance",Town,West,"No degree, not enrolled",Not enrolled in postsecondary education and employed part-time,314.634670224336
Healthcare,More than a bachelor's degree,60000,Equally important,More important than salary,More important than salary,More important than salary,Less important than salary,Less important than salary,Bachelor's degree,0.4577,Diploma,Town,South,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and employed part-time,169.784158587206
Business and Management,Don't know,250000,More important than salary,More important than salary,More important than salary,More important than salary,More important than salary,Equally important,More than a bachelor's degree,0.7878,Diploma,Suburb,South,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and employed part-time,167.918897775523
Business and Management,More than a bachelor's degree,60000,More important than salary,More important than salary,Less important than salary,Less important than salary,Less important than salary,Less important than salary,Bachelor's degree,0.3289,Diploma,Suburb,Midwest,Attained associate's degree,Enrolled in postsecondary education and employed part-time,222.760959053841
Don't Know,Don't know,15000,Equally important,More important than salary,Equally important,Equally important,Less important than salary,Equally important,More than a bachelor's degree,1.3932,Diploma,Suburb,Midwest,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and employed part-time,158.575905639503
STEM,More than a bachelor's degree,80000,More important than salary,More important than salary,More important than salary,More important than salary,More important than salary,More important than salary,More than a bachelor's degree,1.37,Diploma,City,Midwest,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and not in the labor force,70.6119843160103
Arts and entertainment,More than a bachelor's degree,80000,Equally important,Equally important,More important than salary,More important than salary,Less important than salary,Equally important,Some college,-0.7597,Diploma,City,Midwest,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and employed part-time,1232.30602048582
STEM,More than a bachelor's degree,100000,Equally important,More important than salary,More important than salary,Less important than salary,Less important than salary,Equally important,More than a bachelor's degree,1.6938,Diploma,Suburb,Northeast,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and employed part-time,498.025344418002
Trades and technical,Bachelor's degree,60000,More important than salary,Equally important,Less important than salary,More important than salary,Less important than salary,Equally important,"High school diploma, equivalent, or less",-0.6762,"GED, other HS equivalency, or certificate of attendance",City,Midwest,Item legitimate skip/NA,Not enrolled in postsecondary education and employed full-time,10.2965833498234
STEM,More than a bachelor's degree,125000,Equally important,More important than salary,More important than salary,More important than salary,Equally important,Less important than salary,More than a bachelor's degree,1.6122,Diploma,Town,Northeast,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and employed part-time,6.73954723587546
Don't Know,Bachelor's degree,70000,Equally important,Less important than salary,Equally important,Equally important,Less important than salary,Less important than salary,Associate's degree,0.6469,Diploma,Rural,South,"No degree, enrolled at less-than-4-year",Enrolled in postsecondary education and employed part-time,11.7712190261112
Other,More than a bachelor's degree,50000,More important than salary,Equally important,More important than salary,Equally important,More important than salary,Equally important,Bachelor's degree,0.0813,Diploma,City,Midwest,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and employed part-time,103.435168328637
Don't Know,Don't know,60000,More important than salary,Equally important,Equally important,Equally important,Equally important,Equally important,"High school diploma, equivalent, or less",-1.0951,Diploma,Suburb,South,Item legitimate skip/NA,Not enrolled in postsecondary education and employed full-time,46.4365711003973
Business and Management,More than a bachelor's degree,90000,More important than salary,More important than salary,More important than salary,Equally important,Equally important,Equally important,More than a bachelor's degree,1.351,Diploma,City,Northeast,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and not in the labor force,147.034400138324
Don't Know,Associate's degree,50000,Equally important,Equally important,Equally important,Equally important,Equally important,Equally important,More than a bachelor's degree,1.0195,Diploma,Suburb,South,"No degree, not enrolled",Not enrolled in postsecondary education and employed full-time,742.911556004353
Healthcare,Some college,60000,Equally important,More important than salary,Equally important,Equally important,Less important than salary,Less important than salary,Some college,-0.2323,Diploma,Rural,Midwest,"No degree, not enrolled",Not enrolled in postsecondary education and employed full-time,366.359966942543
Don't Know,Bachelor's degree,45000,More important than salary,Equally important,Equally important,Equally important,Equally important,Equally important,Some college,-0.3746,Diploma,Suburb,Midwest,"No degree, not enrolled",Not enrolled in postsecondary education and employed part-time,35.4486519491276
Business and Management,More than a bachelor's degree,70000,Equally important,More important than salary,Equally important,More important than salary,More important than salary,Equally important,Bachelor's degree,0.0391,Diploma,Rural,Midwest,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and employed part-time,33.7896703116776
Business and Management,Associate's degree,50000,More important than salary,More important than salary,More important than salary,More important than salary,More important than salary,More important than salary,"High school diploma, equivalent, or less",-0.1807,Diploma,Suburb,Midwest,Item legitimate skip/NA,Not enrolled in postsecondary education and not in the labor force,255.782758681331
Arts and entertainment,Bachelor's degree,30000,More important than salary,More important than salary,More important than salary,More important than salary,More important than salary,Less important than salary,"High school diploma, equivalent, or less",0.1091,Diploma,City,South,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and unemployed,127.967845494984
Don't Know,"High school diploma, equivalent, or less",45000,Equally important,Equally important,Less important than salary,Equally important,Less important than salary,Equally important,"High school diploma, equivalent, or less",-0.2042,Diploma,Town,West,"No degree, not enrolled",Not enrolled in postsecondary education and unemployed,99.9318016275367
Don't Know,Bachelor's degree,100000,Equally important,Equally important,Less important than salary,Less important than salary,Less important than salary,Less important than salary,Associate's degree,0.4277,Diploma,Rural,Midwest,"No degree, not enrolled",Not enrolled in postsecondary education and employed part-time,29.2002189683741
Other,Associate's degree,30000,More important than salary,More important than salary,More important than salary,More important than salary,Equally important,Equally important,Some college,-0.1224,Diploma,Rural,South,"No degree, not enrolled",Not enrolled in postsecondary education and employed full-time,700.614339931374
Healthcare,Bachelor's degree,150000,More important than salary,More important than salary,More important than salary,Equally important,More important than salary,Equally important,Bachelor's degree,0.6113,Diploma,City,Midwest,"No degree, enrolled at less-than-4-year",Enrolled in postsecondary education and employed part-time,58.8124913694754
Don't Know,Don't know,30000,Equally important,Equally important,Equally important,Equally important,More important than salary,Equally important,"High school diploma, equivalent, or less",-0.4585,No HS credential,Town,Midwest,Item legitimate skip/NA,Not enrolled in postsecondary education and unemployed,198.661148464146
Arts and entertainment,Bachelor's degree,80000,Equally important,Equally important,Equally important,Equally important,Equally important,Equally important,Less than high school,-1.2681,Diploma,Rural,South,Attained associate's degree,Enrolled in postsecondary education and employed part-time,173.204192416034
Education,More than a bachelor's degree,50000,More important than salary,More important than salary,More important than salary,More important than salary,Equally important,More important than salary,Bachelor's degree,0.6054,Diploma,Suburb,South,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and employed part-time,249.82329401354
Don't Know,Associate's degree,70000,Equally important,Equally important,Equally important,Equally important,Equally important,Equally important,"High school diploma, equivalent, or less",-0.3285,Diploma,Rural,Midwest,Item legitimate skip/NA,Not enrolled in postsecondary education and not in the labor force,314.569996098105
Education,More than a bachelor's degree,40000,Equally important,More important than salary,More important than salary,Less important than salary,Less important than salary,Equally important,Bachelor's degree,0.4299,Diploma,Rural,South,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and employed part-time,377.468371782145
Don't Know,Bachelor's degree,60000,Equally important,Equally important,Equally important,Equally important,Equally important,Equally important,Associate's degree,0.1267,Diploma,Rural,Midwest,Attained bachelor's degree,Enrolled in postsecondary education and not in the labor force,177.522097080808
Education,Bachelor's degree,45000,More important than salary,Equally important,More important than salary,More important than salary,Equally important,More important than salary,More than a bachelor's degree,1.533,Diploma,City,South,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and not in the labor force,201.939441149086
Healthcare,Bachelor's degree,60000,More important than salary,Equally important,Equally important,Equally important,Equally important,Equally important,"High school diploma, equivalent, or less",-0.5776,Diploma,Rural,South,"No degree, not enrolled",Not enrolled in postsecondary education and not in the labor force,234.539549033166
Trades and technical,"High school diploma, equivalent, or less",25000,Equally important,Equally important,Equally important,Equally important,Equally important,Equally important,"High school diploma, equivalent, or less",-0.5581,Diploma,Town,Midwest,Item legitimate skip/NA,Not enrolled in postsecondary education and employed full-time,682.058667470672
Business and Management,More than a bachelor's degree,90000,More important than salary,Equally important,More important than salary,Less important than salary,Equally important,Equally important,"High school diploma, equivalent, or less",-0.7214,Diploma,Suburb,South,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and unemployed,339.029704093937
STEM,Bachelor's degree,80000,More important than salary,Equally important,More important than salary,Equally important,More important than salary,More important than salary,Less than high school,-0.5599,Diploma,Suburb,South,"No degree, not enrolled",Not enrolled in postsecondary education and employed full-time,23.0999494963937
Don't Know,More than a bachelor's degree,100000,Equally important,More important than salary,Equally important,Equally important,More important than salary,Less important than salary,More than a bachelor's degree,1.4884,Diploma,Suburb,West,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and not in the labor force,245.79963273829
Healthcare,More than a bachelor's degree,60000,Equally important,Equally important,Equally important,Equally important,Equally important,Equally important,More than a bachelor's degree,0.2523,Diploma,City,South,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and unemployed,65.5612386872793
STEM,More than a bachelor's degree,60000,Equally important,More important than salary,More important than salary,Equally important,More important than salary,More important than salary,"High school diploma, equivalent, or less",-0.5324,Diploma,Town,Midwest,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and employed part-time,806.360179606206
Don't Know,Some college,125000,More important than salary,Equally important,More important than salary,Equally important,More important than salary,Equally important,"High school diploma, equivalent, or less",-0.3305,Diploma,Town,Midwest,Attained certificate,Not enrolled in postsecondary education and employed full-time,442.824059408185
Other,Don't know,15000,More important than salary,More important than salary,More important than salary,Equally important,Equally important,Equally important,Some college,-0.4486,Diploma,Suburb,Midwest,"No degree, not enrolled",Not enrolled in postsecondary education and unemployed,124.364640212494
STEM,Bachelor's degree,85000,More important than salary,More important than salary,Equally important,Equally important,More important than salary,Equally important,More than a bachelor's degree,1.4597,Diploma,Suburb,Northeast,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and not in the labor force,27.9437164180349
Healthcare,More than a bachelor's degree,100000,Less important than salary,Less important than salary,Equally important,Equally important,Less important than salary,Less important than salary,Bachelor's degree,-0.797,Diploma,Rural,Northeast,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and employed part-time,166.880265686071
Don't Know,More than a bachelor's degree,100000,Equally important,Equally important,Equally important,Equally important,More important than salary,Equally important,Bachelor's degree,0.3296,Diploma,City,South,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and unemployed,13.8463097537067
Healthcare,Some college,10000,More important than salary,Equally important,Equally important,Equally important,Less important than salary,Equally important,"High school diploma, equivalent, or less",-0.4509,"GED, other HS equivalency, or certificate of attendance",Town,West,Item legitimate skip/NA,Not enrolled in postsecondary education and unemployed,1027.95892878372
Other,More than a bachelor's degree,200000,Equally important,Less important than salary,Equally important,Equally important,More important than salary,Equally important,More than a bachelor's degree,0.9017,Diploma,Suburb,West,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and employed part-time,643.959852986436
Service,Some college,15000,Equally important,More important than salary,Equally important,Equally important,Equally important,Equally important,"High school diploma, equivalent, or less",0.2303,Diploma,Rural,Midwest,Item legitimate skip/NA,Not enrolled in postsecondary education and employed full-time,31.6069209330538
Healthcare,Bachelor's degree,90000,More important than salary,More important than salary,More important than salary,Equally important,Equally important,More important than salary,"High school diploma, equivalent, or less",0.4395,Diploma,Suburb,South,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and employed part-time,214.377142145848
Other,"High school diploma, equivalent, or less",2500,Equally important,Equally important,Equally important,Equally important,Equally important,Equally important,"High school diploma, equivalent, or less",-1.0354,Diploma,City,West,Item legitimate skip/NA,Not enrolled in postsecondary education and employed part-time,561.442645551574
Military and protective services,Bachelor's degree,55000,Equally important,Equally important,Equally important,Less important than salary,Equally important,Equally important,More than a bachelor's degree,1.5424,Diploma,Rural,West,Attained certificate,Not enrolled in postsecondary education and employed part-time,572.843320390346
Healthcare,Associate's degree,50000,More important than salary,Equally important,More important than salary,Equally important,Equally important,Less important than salary,Less than high school,-0.9389,Diploma,City,Northeast,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and employed part-time,312.593676960148
Don't Know,More than a bachelor's degree,70000,More important than salary,More important than salary,More important than salary,More important than salary,Less important than salary,Equally important,Bachelor's degree,0.5101,Diploma,Town,South,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and employed part-time,53.1962618884359
Other,Bachelor's degree,30000,Equally important,Equally important,Less important than salary,Equally important,Equally important,Equally important,Associate's degree,-0.4605,Diploma,Rural,Northeast,Item legitimate skip/NA,Not enrolled in postsecondary education and employed full-time,47.357910311014
Don't Know,Bachelor's degree,150000,Equally important,More important than salary,Equally important,Less important than salary,More important than salary,Equally important,Bachelor's degree,1.296,Diploma,City,South,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and not in the labor force,88.7626585547415
Don't Know,More than a bachelor's degree,65000,Equally important,Equally important,Equally important,Equally important,Equally important,Equally important,More than a bachelor's degree,0.2296,Diploma,Rural,South,Attained associate's degree,Enrolled in postsecondary education and not in the labor force,66.5500528774718
Don't Know,Bachelor's degree,85000,Equally important,Equally important,Equally important,More important than salary,Less important than salary,Less important than salary,More than a bachelor's degree,1.6657,Diploma,Rural,Midwest,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and employed part-time,13.8480286447533
Trades and technical,Some college,55000,More important than salary,Less important than salary,Less important than salary,More important than salary,Less important than salary,Less important than salary,Less than high school,-0.902,"GED, other HS equivalency, or certificate of attendance",Town,West,Item legitimate skip/NA,Not enrolled in postsecondary education and employed full-time,1066.22943911647
Other,Associate's degree,60000,More important than salary,More important than salary,Less important than salary,Equally important,More important than salary,Equally important,"High school diploma, equivalent, or less",-0.6697,Diploma,Rural,South,Item legitimate skip/NA,Not enrolled in postsecondary education and employed full-time,474.827728430568
Other,More than a bachelor's degree,65000,Equally important,More important than salary,Equally important,More important than salary,Equally important,Less important than salary,Associate's degree,0.2274,Diploma,Suburb,South,"No degree, not enrolled",Not enrolled in postsecondary education and unemployed,794.431952199657
Arts and entertainment,Bachelor's degree,25000,Equally important,More important than salary,More important than salary,Equally important,Equally important,Equally important,"High school diploma, equivalent, or less",-1.3041,"GED, other HS equivalency, or certificate of attendance",Rural,South,Item legitimate skip/NA,Not enrolled in postsecondary education and employed full-time,329.784941885928
Healthcare,More than a bachelor's degree,60000,More important than salary,More important than salary,More important than salary,Equally important,Equally important,Equally important,"High school diploma, equivalent, or less",-0.6572,Diploma,Suburb,South,Attained bachelor's degree,Enrolled in postsecondary education and not in the labor force,548.588213506466
